,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
XS2770921315,33.0,3000.0,366000.0,98.67437,5.08,5.8,7.56,2036-02-22,5.625,10.53,15.45,6.74,17.24,84
ES0000012G91,11.0,5000.0,331000.0,99.07689,1.98,1.98,0.47,2026-01-31,,0.47,15.05,8.79,47.35,84
IT0005634602,22.0,12000.0,236000.0,102.47654,2.19,2.56,2.3,2032-03-26,3.5,6.62,14.94,5.48,30.68,84
IT0005374043,33.0,5000.0,427000.0,101.48537,1.75,2.25,0.25,2026-06-28,3.92,0.87,14.92,4.07,21.06,84
XS2829741698,2.0,700.0,5700.0,100.94497,2.81,3.84,7.59,2035-01-17,4.0,9.43,14.78,0.34,24.11,84
IT0005556011,8.0,10000.0,184000.0,101.89413,1.61,2.09,1.04,2026-09-15,,1.09,14.72,4.13,49.09,84
FR001400QMF9,22.0,2000.0,268202.0,97.36544,2.96,3.34,7.8,2034-11-25,3.0,9.29,14.43,2.73,26.46,84
IT0005633794,2.0,5000.0,95000.0,100.63,1.81,2.14,1.47,2027-02-25,2.55,1.53,14.26,2.18,37.16,83
IT0005657348,8.0,101000.0,396000.0,99.69268,2.71,3.09,4.24,2031-08-15,1.1,6.01,13.53,8.49,33.62,83
IT0005415416,6.0,24000.0,312000.0,99.6132,-0.74,2.45,0.55,2026-05-15,,0.75,12.51,0.94,32.11,83
XS2829209720,16.0,31000.0,206000.0,101.14198,4.38,5.04,5.56,2032-05-30,5.25,6.8,11.65,3.63,19.41,83
IT0005666851,258.0,5000.0,11413000.0,,,,,2026-08-14,,1.0,11.19,11.19,11.19,83
IT0005597874,24.0,260.0,239957.0,101.97266,3.71,5.19,3.48,2029-08-02,5.75,3.97,10.82,3.78,19.43,83
XS2829810923,31.0,5000.0,536000.0,96.99604,5.27,5.99,8.29,2037-05-30,5.625,11.8,10.49,5.38,25.03,83
XS3021378388,16.0,2000.0,354000.0,102.74712,5.61,6.44,8.75,2039-07-11,6.75,13.92,10.3,2.6,27.38,83
EU000A284451,9.0,3000.0,33000.0,99.57169,1.9,1.9,0.22,2025-11-04,,0.22,9.51,1.4,15.38,83
DE0001102382,0.0,0.0,0.0,,,,,,,,9.28,3.33,17.77,83
ES0000012H58,12.0,69000.0,452000.0,44.86884,3.85,4.17,25.03,2071-10-31,1.45,46.24,9.12,2.01,14.48,82
EU000A3KTGV8,13.0,6000.0,267000.0,98.26834,1.99,1.99,0.88,2026-07-06,,0.89,8.71,3.47,23.91,82
FR0013451507,15.0,30653.0,286031.0,89.86647,2.55,2.55,4.18,2029-11-25,,4.28,8.69,4.21,14.57,82
XS2109813142,15.0,4000.0,86000.0,63.9327,5.74,6.32,13.67,2050-01-28,3.375,24.47,8.5,4.82,15.79,82
FR001400FTH3,5.0,9000.0,69000.0,79.95201,3.78,4.23,17.57,2054-05-25,3.0,28.8,8.27,1.53,20.68,82
DE0001102572,14.0,4745.0,1397501.0,42.64479,3.22,3.23,26.18,2052-08-15,,27.02,8.21,2.46,16.47,82
FR0014003513,3.0,5000.0,20000.0,97.02384,2.01,2.01,1.5,2027-02-25,,1.53,8.04,2.16,13.57,82
FR0013508470,3.0,6260.0,21260.0,98.93981,1.95,1.95,0.53,2026-02-25,,0.53,7.92,1.89,27.37,82
FR0011461037,14.0,10000.0,188000.0,90.2524,3.54,3.97,13.94,2045-05-25,3.25,19.79,7.82,2.4,15.75,82
DE0001102408,14.0,10000.0,542000.0,98.16323,1.86,1.86,0.99,2026-08-15,,1.0,7.72,4.2,18.35,82
FR0012938116,3.0,28489.0,88489.0,99.72793,1.8,1.94,0.28,2025-11-25,1.0,0.28,7.54,2.61,17.46,81
ES00000128E2,18.0,55000.0,326000.0,85.1165,3.74,4.23,20.08,2066-07-30,3.45,40.99,7.5,3.63,16.24,81
DE0001141836,2.0,255.0,20000.0,98.7698,1.88,1.88,0.65,2026-04-10,,0.65,7.34,1.22,26.65,81
FR0011883966,6.0,37161.0,141161.0,99.43802,2.32,2.65,4.43,2030-05-25,2.5,4.78,7.33,1.79,9.67,81
